row.names	cln3.1	cln3.2	clb2.2	clb2.1	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119	cdc15.10	cdc15.30	cdc15.50	cdc15.70	cdc15.80	cdc15.90	cdc15.100	cdc15.110	cdc15.120	cdc15.130	cdc15.140	cdc15.150	cdc15.160	cdc15.170	cdc15.180	cdc15.190	cdc15.200	cdc15.210	cdc15.220	cdc15.230	cdc15.240	cdc15.250	cdc15.270	cdc15.290	cdc28.0	cdc28.10	cdc28.20	cdc28.30	cdc28.40	cdc28.50	cdc28.60	cdc28.70	cdc28.80	cdc28.90	cdc28.100	cdc28.110	cdc28.120	cdc28.130	cdc28.140	cdc28.150	cdc28.160	elu0	elu30	elu60	elu90	elu120	elu150	elu180	elu210	elu240	elu270	elu300	elu330	elu360	elu390	peak
YBR070C	0.83	0.86	-1.36	-0.45	-0.91	-0.33	0.41	0.67	0.42	0.13	-0.06	-0.1	-0.84	0.19	-0.18	0.5	0.53	0.22	-0.35	0.16	-0.42	-0.03	0.31	0.49	0.58	-0.25	0.3	-1.43	-0.22	-1.55	0.09	-0.04	0.47	0.59	0.82	-0.03	0.8	-0.43	-0.17	-0.91	0.2	0.17	1.03	-0.22	-0.17	-0.43	-0.22	0.69	1.86	1.05	-0.04	-0.28	-0.86	-1.25	-0.58	0.44	0.39	0.53	0.15	-0.34	NA	-0.84	-0.69	-0.97	-0.41	0.31	-0.36	0.34	0.38	0.11	0.42	0.06	-0.14	0.38	-0.19	-0.15	0.24	G1
YBR071W	1.04	1.92	-1.47	-2.32	-0.81	0.02	1.08	0.74	-0.1	-0.23	-0.64	-0.64	-1.21	0.24	1.27	1.13	0.49	-0.06	-0.39	-0.1	-1	0.22	NA	NA	NA	-0.7	-0.55	-1.8	-1.5	-1.53	0.29	1.69	2.08	1.33	0.87	0.32	0.14	-0.72	-1.28	-1.09	-0.45	0.86	1.19	0.87	NA	NA	-0.27	0.6	1.1	-0.22	-0.07	-0.34	-0.75	-1.33	-0.64	1.17	1.1	0.52	-0.12	NA	-0.43	-0.42	0.09	-0.29	-0.91	-0.67	-0.23	0.38	0.02	0.06	0.03	0.08	0.08	-0.03	0.52	0.55	0.4	G1
YBR073W	0.69	1.21	-0.84	-1.36	-0.48	1.79	0.38	0.06	-0.11	-0.16	-0.14	-0.16	-0.63	-0.54	-0.02	0.38	0.13	-0.29	0.08	0.19	-0.46	NA	NA	NA	NA	-0.04	0.05	-1.27	-0.72	-1.03	-0.25	0.42	1.01	0.66	0.65	0.59	0.06	0	-0.46	-0.75	-0.09	0.5	0.27	0.4	NA	NA	-0.23	-0.05	0.86	0.19	0.57	-0.3	-0.08	-0.42	-0.48	0.33	0.53	0.54	NA	-0.21	-0.32	-0.49	-0.44	-0.76	-1.16	-0.43	0.31	0.74	0.56	0.77	0.23	0.23	0.68	-0.23	-0.05	-0.81	-0.09	G1
YBR087W	0.25	0.01	0.01	0.6	-0.21	-0.35	0.26	0.29	0.24	0	0.07	-0.03	-0.19	0.04	0.04	0.06	0.11	-0.05	-0.11	-0.16	0.13	-0.16	0.3	0.73	0.87	0.18	-0.68	-0.26	-0.36	-0.17	-0.71	0.19	-0.12	0.42	-0.21	0.06	-0.21	0.28	-0.23	-0.03	-0.68	-0.24	0.26	0.25	0.08	0.29	-0.37	-0.3	0.62	0.34	0.24	-0.21	0.18	0.1	-0.03	0.01	0.15	0.24	0.05	NA	-0.19	-0.42	-0.42	-0.71	-0.49	0.03	-0.32	0.4	0.79	-0.02	0.42	0.2	-0.13	0.28	-0.15	-0.32	0.03	G1
YBR088C	2.05	1.67	-2.06	-1.43	-1.15	-0.86	1.21	1.62	1.12	0.16	-0.44	-0.93	-1.23	-0.62	0.62	1.3	1.08	0.27	0.04	-0.51	-0.8	-0.89	NA	1.4	NA	-0.16	-0.81	-1.51	-1.68	-1.96	-1.25	1.13	1.11	2.16	1.51	1.39	0.57	-0.25	-0.78	-0.81	-1.3	-0.23	-0.1	0.63	0.42	0.52	-0.5	0.11	1.16	0.72	0.3	-0.45	-0.68	-0.98	-1.04	0.83	1	0.88	NA	-0.06	-0.14	-0.77	-0.39	-1.8	-1.43	-0.56	0.26	0.96	0.86	1.03	0.7	0.45	0.26	0.26	-0.21	-0.49	-0.3	G1
YBR089W	1.01	-1.29	NA	NA	-0.97	-0.66	0.73	1.36	0.66	0.07	-0.4	0.12	-1.5	0.2	-0.02	0.6	0.91	0.03	-0.25	NA	-1	0.13	-0.8	1.16	1.66	-0.61	-0.77	-2.3	-1.11	-2.47	-0.71	0.62	1.4	1.64	1.44	1.03	1.27	-0.26	NA	-1.15	-0.82	-0.18	0.45	0.2	0.1	0.19	-0.76	0	1.24	0.79	0.2	-0.49	-0.67	-0.94	-1	0.78	1.06	1.02	0.55	-0.11	NA	-1.13	-0.54	-1.62	-1.26	-0.06	-0.14	0.91	1.23	0.72	0.69	0.22	0.23	0.55	-0.23	-1.16	-0.06	G1
YBR108W	0.3	-0.74	-0.56	0.15	-0.25	0.07	0.44	-1.25	0.07	-0.21	0.01	-0.02	0.01	0.26	0.06	0.13	-0.05	0.26	-0.07	0.22	0.07	0.23	0.7	1.09	0.98	-2.72	0.36	-3.2	0.66	-3.53	0.26	NA	0.36	1.8	0.76	1.06	0.52	-2.2	0.74	-2.36	0.58	0.93	1.24	0.6	0.8	0.56	0.83	-0.8	-0.52	-0.24	0.36	-0.15	0.09	0.13	0.13	0.18	0.16	0.4	0.29	0	-0.23	-0.66	0.03	-0.11	-0.18	-0.31	0.13	-0.28	-0.29	-0.13	0.09	0.19	0.21	-0.29	0.5	0.24	0.23	G1
YBR161W	0.76	0.77	-0.34	-0.58	-0.46	0	0.42	0.28	0.51	0.03	0.17	-0.18	-0.58	-0.23	-0.12	0.27	0.2	-0.05	0.29	0.28	-0.53	-0.27	-0.76	-0.2	0.02	-0.02	0.35	-0.25	-0.02	-0.86	-0.08	-0.2	0.68	0.21	0.94	0.22	0.9	0.1	-0.07	-0.45	0.21	-0.04	0.21	-0.3	-0.43	-0.15	-0.88	-0.66	0.63	0.27	-0.38	0.35	0.46	-0.55	-0.4	0.26	0.37	0.48	0.42	0.35	0.26	-0.36	-0.61	-0.17	-0.4	-0.14	-0.03	0.25	-0.1	0.17	0.16	-0.07	-0.07	-0.05	0.28	0.1	0.08	G1
YCL022C	0.65	-0.04	0	0.18	0.06	-0.01	1.05	0.75	0.23	-0.19	-0.1	-0.46	-0.67	0.06	0.26	0.56	0.36	-0.13	-0.6	-0.26	-0.46	-0.46	0.78	1.39	1.19	-0.83	-0.83	-1.14	-0.71	-1.41	-0.17	1.14	0.71	1.16	0.43	0.38	-0.36	-0.48	-0.71	-0.87	-1	0.11	-0.24	0.87	0.41	0.19	-0.09	-0.42	1.24	0.46	-0.34	-0.48	-0.5	-1.03	-0.62	1.32	1.55	1.3	0.48	-0.3	-0.59	-1.68	-0.3	-1.21	-0.44	-0.02	0.51	0.7	0.47	0.26	0.41	-0.02	-0.05	0.04	-0.34	-0.38	0.07	G1
YCL023C	0.54	-1.51	-0.38	-0.27	-0.08	1.36	0.73	0.25	-0.01	0.02	-0.21	-0.12	-0.43	-0.09	0.04	0.31	-0.05	-0.27	-0.54	-0.24	-0.21	-0.49	-0.89	1.04	0.49	-0.67	-0.33	-1.24	-0.19	-1.11	-0.05	0.98	0.86	0.96	0.4	0.02	-0.17	-0.76	0.02	-1	0.21	0.27	0.68	0.5	0.02	-0.05	0.45	0.12	0.22	0.64	-0.1	-0.78	-0.16	-0.22	-0.04	-0.44	0.53	0.27	0.78	-0.36	-0.04	-0.51	-0.36	0.11	-0.35	0.05	0.11	0.52	0.32	0.43	-0.12	-0.12	-0.25	0.01	-0.35	-0.43	0.07	G1
YCL024W	0.87	-0.06	NA	0.07	-0.41	0.2	1.31	0.92	0.26	-0.36	-0.26	-0.94	-0.7	0.06	0.61	0.74	0.56	-0.28	-0.6	-0.28	-0.41	-0.43	-0.33	1.86	1.02	-0.89	-0.93	-1.28	-1.22	-1.33	-0.42	1.47	0.88	1.51	0.45	0.69	-0.15	-0.52	-0.73	-0.81	-1.07	-0.1	-0.07	0.99	0.51	0.48	-0.39	0.25	1.31	0.34	-0.39	-0.29	-0.39	-0.67	-0.51	0.38	1.35	1.12	0.89	-0.86	-0.48	-1.07	-0.58	-1.01	-0.37	-0.1	0.23	0.58	0.55	0.19	0.3	0.16	0.04	-0.03	-0.15	-0.53	0.13	G1
YCL042W	0.58	-0.23	-0.32	0.51	-0.02	1.07	1.3	0.83	0.35	-0.46	-0.13	-0.91	-0.52	-0.15	-0.03	0.03	0.13	-0.44	-0.17	-0.24	-0.3	-0.35	-0.84	-1.25	-1.43	-0.24	-0.88	-0.3	-0.88	-0.3	-0.31	0.42	0.09	0.21	0.56	0.31	0.05	-0.18	-0.99	0.19	0.81	0.45	1.56	1.07	0.87	1.01	1.55	0.19	-0.46	-0.13	-0.13	-0.62	-0.76	-0.5	-0.1	-0.22	0.7	0.33	0.78	-0.29	-0.19	0.07	-0.22	0.39	0.45	0.07	-0.64	-1.08	-1.05	-0.8	-0.08	0.59	-0.03	-0.44	0.82	0.92	0.88	G1
YCL060C	1.58	0.21	-1.03	0.01	-0.97	-0.5	0.42	1.27	0.19	0.23	-0.94	-0.5	-0.67	-0.02	0.54	0.85	0.39	0.19	-0.2	0.09	NA	-0.37	-0.2	1.05	1	-0.28	-0.86	-0.79	-0.86	-0.41	-0.49	0.58	0.6	1.39	0.45	0.81	-0.06	-0.55	-0.41	-0.49	-0.82	0.04	-0.06	0.21	0.19	-0.02	0.06	-0.17	0.96	0.78	-0.03	-0.72	-0.83	-0.4	-0.22	-0.01	0.83	0.83	0.75	-0.24	-0.37	-1.03	-0.22	-0.6	-0.31	0.41	-0.5	0.36	0.77	0.6	0.17	-0.08	-0.07	0.23	-0.37	-0.5	-0.1	G1
YCL061C	1.18	-0.12	-0.42	-0.38	-0.69	-0.29	0.57	1.14	0.13	0.07	-0.31	0.17	-0.88	-0.42	0.13	0.33	0.27	-0.06	-0.18	0.58	-0.15	-0.44	0.22	0.59	0.3	-0.16	-0.38	-0.28	-0.62	0.02	-0.65	-0.26	0.61	0.28	0.39	0.12	0.4	-0.38	0.09	-0.5	-0.18	0.57	0.07	-0.16	0.02	-0.12	-0.46	-0.67	0.75	0.68	0.26	-0.26	-0.3	-0.32	-0.2	0.01	0.98	1.03	0.74	-0.32	-0.69	-1.16	-0.08	-0.5	-0.24	0.24	0.75	0.66	0.53	0.44	-0.05	-0.12	-0.03	-0.06	-0.55	-0.6	-0.48	G1
YCR065W	1.18	1.42	-0.32	-0.58	-1.18	-0.2	0.57	0.69	0.21	0.1	-0.66	-0.44	-0.4	-0.57	0.21	0.81	0.69	0.41	0.13	0.31	-0.36	-0.34	-0.33	0.53	0.45	0.22	0.25	-0.48	-0.38	-0.61	-0.31	0.03	0.87	0.61	0.86	0.54	0.12	-0.11	-0.63	-0.56	-0.05	0.2	-0.27	-0.27	-0.42	-0.26	-1.04	-0.02	0.76	0.59	0.31	0.04	-0.35	-0.12	-0.48	0.08	0.5	0.55	0.45	-0.07	NA	-0.6	-0.6	-1.43	-0.95	-0.19	0.05	0.03	0.63	0.67	0.66	0.06	0.32	0.15	0.14	-0.22	0.08	G1
YDL003W	2.56	3.35	-1.94	-1.32	-1.22	-0.74	1.34	1.5	0.63	0.29	-0.55	-0.65	-0.76	-0.88	0.69	1.25	0.62	-0.01	-0.36	-0.04	-0.55	-0.55	-0.94	1.93	1.93	-0.22	-0.71	-1.31	-1.18	-1.68	-0.94	0.89	1.16	1.48	1	1.13	-0.22	-0.16	-0.98	-0.84	-0.81	-0.08	-0.57	0.62	0.18	0.32	NA	0.23	1.45	0.84	0	-0.4	-0.77	-1.1	-1.47	0.67	1.27	0.96	NA	0.05	-0.32	-0.86	-0.56	-0.89	-1.54	-0.92	0.37	0.89	1.14	0.89	0.83	-0.03	-0.01	0.19	-0.35	-0.65	0.06	G1
YDL010W	0.19	0.7	-0.56	-0.64	-0.58	-0.06	0.67	0.92	0.09	0.41	-0.3	-0.21	-0.45	-0.11	0.21	0.24	0.14	-0.03	-0.24	-0.09	-0.33	-0.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.19	-0.75	0.87	0.59	0.26	-0.36	-0.45	-0.55	-0.34	0.35	0.55	0.63	0.4	-0.12	NA	-0.54	-0.34	0.32	-0.21	-0.14	-0.79	-0.14	0.26	0.39	0.17	0.01	-0.16	0.15	0.08	-0.07	0.14	G1
YDL011C	0.06	0.33	-0.45	-0.94	-0.47	0.21	0.37	0.5	0.33	0.26	-0.62	-0.18	-0.12	-0.38	0.38	0.08	0.08	-0.22	-0.26	0.3	-0.29	0.05	NA	0.62	NA	NA	0.02	NA	-0.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.48	-0.84	0.72	0.65	0.4	-0.17	-0.54	-0.39	-0.2	0.28	0.69	0.84	0.22	-0.12	NA	-0.64	-0.43	0.31	-0.45	NA	0	0.09	0.09	0.25	0.34	-0.09	-0.21	0	-0.29	0.15	-0.17	G1
YDL018C	0.01	-0.67	NA	-0.36	-0.24	0.1	0.72	0.89	0.45	0.22	0.07	-0.53	-0.61	-0.24	-0.06	0.26	0.4	-0.08	-0.14	-0.55	-0.13	-0.51	0.01	0.34	1.03	-0.12	-0.74	-0.78	0.64	-1.29	-0.94	0.31	0.59	1	0.84	0.75	-0.1	-0.1	-0.74	-0.58	-0.52	-0.69	-0.2	0.42	0.42	0.44	-0.27	0.43	1.29	0.78	-0.64	-0.37	-0.81	-1.18	-0.72	0.41	0.74	0.57	0.47	0.02	NA	-0.36	-0.37	-0.43	-0.02	-0.02	-0.33	0.11	0.23	-0.29	0.2	0.1	-0.16	0.17	0.17	0.04	0.23	G1
YDL055C	1.52	1.76	-1.25	-1.51	-0.73	-1.06	-0.79	-0.02	0.16	0.44	0.03	0.11	-0.2	-1.26	-0.37	0.03	0.67	0.68	0.87	0.95	0.45	0.05	-2.35	-0.38	0.91	0.56	0.83	-0.04	-0.42	-1.54	-1.42	-0.65	0.4	1.2	1.27	1.16	1.02	0.82	-0.18	0	0.04	-0.72	-1.31	-0.18	0.36	0.61	-0.88	-0.14	0.57	0.21	-0.11	-0.34	0.3	-0.55	-0.75	0.26	0.43	NA	-0.18	0.18	0.74	0.43	-0.18	-0.74	-1.09	-1.27	-0.71	-0.2	0.64	0.59	0.62	0.16	0.35	0.47	0.27	0.44	0.46	G1
YDL093W	0.24	1.1	-0.45	-0.29	-0.33	-0.37	-0.03	0.27	0.65	0.23	0.36	-0.23	-0.29	-0.12	-0.17	0.28	0.46	0.16	0.07	-0.19	-0.46	-0.31	-0.09	0.16	0.69	0.11	0.36	-0.84	-0.24	-0.39	-0.01	0.13	0.48	0.5	0.21	0.37	-0.31	-0.17	0.37	-0.39	0.5	-0.2	-0.44	-0.09	-0.24	-0.47	-0.05	-0.69	0.61	0.79	0.52	0.05	0.09	-0.11	-0.12	-0.21	0.2	0.4	0.12	NA	-0.3	-0.48	-0.82	-0.56	0.36	-0.22	-0.39	-0.06	NA	0.32	0.08	0.29	0.04	0.09	0.23	-0.16	-0.04	G1
YDL095W	1.22	1.69	-0.54	-0.27	-0.29	-0.66	-0.09	0.07	0.57	0.3	0.53	-0.18	-0.07	-0.37	-0.23	0.16	0.3	0.23	0.24	0.14	-0.35	-0.31	0.26	-0.03	0.39	0.48	0.37	-0.54	-0.29	-0.26	-0.26	0.24	0.11	0.53	-0.29	0.54	-1.13	0.13	0.11	-0.05	0.54	-0.38	-0.35	0	0	-0.1	-0.02	-0.31	0.29	0.42	0.2	-0.19	-0.21	-0.37	-0.3	0.17	0.36	0.44	0.16	NA	0.02	-0.19	-0.47	-0.92	-0.28	-0.41	-0.41	-0.02	0.29	0.64	0.32	0.29	0.13	0.31	0.43	-0.3	-0.05	G1
YDL096C	0.92	1.26	-0.47	0.15	-0.26	-0.77	0	0.04	0.63	0.35	0.44	-0.24	-0.24	-0.08	-0.12	0.23	0.27	0.05	0.07	0.17	-0.3	-0.24	0.33	0.01	0.37	0.43	0.37	-0.02	-0.71	-0.41	-0.19	0.06	0.54	0.37	0.64	0.35	-0.28	-0.05	0.37	-0.19	0.06	-0.99	-0.31	-0.16	-0.25	-0.31	0.4	-0.28	0.53	0.72	-0.16	-0.12	-0.94	-0.01	0.06	NA	0.74	1.1	1.18	-0.28	-1.63	-0.74	-0.57	-1.3	-0.46	-0.5	-0.66	0.13	0.15	0.11	0.7	0.48	0.56	0.18	0.33	-0.02	0.29	G1
YDL101C	0.34	0.54	0.19	-0.15	-0.89	-0.18	0.68	1.05	0.18	0.13	-0.4	-0.02	0.17	-0.5	0.02	0.45	0.3	-0.29	-0.02	0.19	-0.62	-0.24	-0.2	0.36	1.06	-0.08	-0.28	-0.5	-0.5	-0.77	-0.26	-0.01	0.47	0.99	0.55	0.65	0.01	0.05	-0.6	-0.42	-0.01	-0.06	-0.8	0.21	-0.06	0.21	-0.72	-0.26	0.59	0.33	0.01	0.02	0	-0.11	-0.28	-0.14	0.55	0.25	0.18	NA	-0.01	0.08	-0.49	-1.27	-0.69	-0.37	-0.29	0.05	0.57	0.79	0.54	0.18	0.33	0.26	0.32	-0.29	-0.13	G1
YDL102W	0.86	0.18	-0.36	-0.6	-0.58	-0.4	0.13	0.58	-0.09	0.02	-0.45	-0.34	0.1	0.12	0.79	0.44	0.2	0.02	-0.27	0.2	-0.36	-0.12	-0.18	0.51	0.32	-0.62	0.01	-0.92	0.25	-0.47	-0.09	0.3	0.89	0.16	0.74	0.71	0.3	-0.3	-0.14	-0.79	0.3	0.46	0.77	-0.42	-1.09	-0.71	-0.71	0.62	1.09	0.45	-0.5	0.14	0.05	-0.3	-0.07	0.07	0.17	0.12	0.2	-0.46	NA	-0.44	-0.44	-1.54	-0.41	0.07	0.07	0.18	0.49	0.36	0.25	0.14	0.3	0.2	-0.13	-0.16	0.18	G1
YDL103C	0.59	1.23	0	-0.36	-0.54	-0.15	0.26	0.6	0.23	0.23	-0.39	-0.17	-0.06	-0.23	0.22	0.34	0.43	-0.08	-0.06	-0.04	-0.46	-0.14	0.13	0.25	0.47	-0.33	-0.63	-0.91	-0.63	-0.43	-0.33	0.25	0.09	0.8	0.13	0.43	-0.33	0.04	-0.61	-0.29	-0.03	0.39	-0.18	0.71	0.41	0.61	-0.49	0.24	0.79	0.24	-0.06	-0.09	-0.28	-0.33	-0.34	0.17	0.37	0.31	-0.09	NA	-0.4	0.01	-0.05	-0.73	-0.36	0.1	0.02	-0.31	0.1	0.25	0.3	-0.2	0.2	0.08	0.17	0.08	0.31	G1
YDL105W	0.62	-0.09	-0.47	-0.58	-0.64	-0.03	0.15	0.32	0.02	0.09	-0.36	-0.09	0.37	-0.4	0.42	0.21	0.37	-0.25	-0.19	0.09	NA	-0.09	-0.34	0.38	0.15	-0.7	-0.07	-0.7	-0.29	-0.67	0.35	0.1	0.45	0.3	0.53	0.24	0.21	-0.2	0.51	-0.52	0.56	0.49	0.01	0.06	-0.79	-0.07	0.23	-0.15	0.85	0.16	0.26	-0.34	-0.4	-0.47	-0.68	0.91	0.7	0.68	-0.04	-0.29	-0.5	-0.8	-0.11	-0.32	-0.18	0.17	0.32	0.13	0.37	0.46	0.13	-0.77	0.08	0.11	-0.32	-0.14	-0.04	G1
